1	105.03	102.97
2	106.91	103.71
3	106.18	103.39
4	104.51	102.59
5	103.40	104.07
6	103.77	104.62
7	103.53	104.65
8	102.60	104.09
9	106.14	103.44
10	106.63	103.87
11	106.33	103.10
12	105.51	102.76
13	101.34	102.83
14	101.47	103.48
15	101.38	102.58
16	101.49	102.81
17	103.84	103.00
18	103.21	103.62
19	103.62	103.42
20	103.75	102.86
21	104.80	103.51
22	105.00	103.25
23	105.03	102.77
24	104.20	103.37
25	103.84	103.48
26	103.74	103.15
27	103.66	103.54
28	103.96	103.46
29	103.21	101.75
30	103.24	102.26
31	103.26	102.32
32	101.78	100.88
